Altium Designer Pick and Place Locations
C:\Dev\wifi-christmas-tree-lights\pcbs\controller_8266\Outputs\2020-08-14\Pick Place for controller_8266.csv

========================================================================================================================
File Design Information:

Date:       14/08/20
Time:       10:11
Revision:   a003badb5dc4f5462887fb881e2030bfeb660ab3
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"TVS1","TopLayer","SOT23","3.0988","24.1046","180"
"C2","TopLayer","CAPC_0603_1608X08L","18.5115","11.6840","180"
"C7","TopLayer","CAPC_0603_1608X08L","12.7579","31.0726","360"
"C6","TopLayer","CAPC3224X25L","29.8774","29.1144","270"
"R16","TopLayer","RESC_0603_1608X08L","17.4244","14.3011","90"
"R15","TopLayer","RESC_0603_1608X08L","19.2550","14.8737","180"
"R14","TopLayer","RESC_0603_1608X08L","18.5582","22.5634","90"
"R13","TopLayer","RESC_0603_1608X08L","17.4079","22.5634","270"
"Q4","TopLayer","SOT23","18.4506","19.7055","90"
"Q3","TopLayer","DPAK229P994X241-3L","9.5228","21.6854","360"
"Q2","TopLayer","DPAK229P994X241-3L","9.5228","14.5581","360"
"Q1","TopLayer","DPAK229P994X241-3L","9.5228","7.4817","360"
"U1","TopLayer","SOT65P210X100-5L","19.0890","5.1562","360"
"S_FUN1","TopLayer","EVQP7C01P","41.8940","23.8000","90"
"R8","TopLayer","RESC_0603_1608X08L","19.7084","22.5634","90"
"R6","TopLayer","RESC_0603_1608X08L","19.2532","16.0274","180"
"R7","TopLayer","RESC_0603_1608X08L","19.2532","17.1958","180"
"R4","TopLayer","RESC_0603_1608X08L","36.5714","27.3158","360"
"R5","TopLayer","RESC_0603_1608X08L","36.5714","26.1656","180"
"R3","TopLayer","RESC_0603_1608X08L","36.5714","29.6244","360"
"R2","TopLayer","RESC_0603_1608X08L","36.5714","28.4661","360"
"R1","TopLayer","RESC_0603_1608X08L","36.5714","30.7746","360"
"LED1","TopLayer","PLCC-4","33.3714","28.9818","360"
"CON_DBG1","TopLayer","CON2X3","41.2366","8.5832","270"
"CON1","TopLayer","CONPWR","8.5160","1.9020","360"
"C1","TopLayer","CAPC_0603_1608X08L","36.5714","24.9464","360"
"C3","TopLayer","CAPC_0603_1608X08L","16.9466","6.2221","90"
"ESP1","TopLayer","ESP8266_ESP-12-E","29.5047","16.5430","180"
"CON2","TopLayer","CONNECTOR","16.6350","1.7877","360"
"C4","TopLayer","CAPC_0603_1608X08L","15.1864","29.9241","180"
"C10","TopLayer","CAPC3224X25L","7.0521","27.4276","270"
"C5","TopLayer","CAPC3224X25L","26.9271","29.1144","270"
"D1","TopLayer","SODFL470X110-2L","17.8504","26.5840","90"
"L1","TopLayer","INDP5150X20L","22.4027","28.6128","360"
"R11","TopLayer","RESC_0603_1608X08L","12.7579","29.8206","180"
"R12","TopLayer","RESC_0603_1608X08L","12.2801","27.9578","270"
"R10","TopLayer","RESC_0603_1608X08L","15.1864","31.1404","360"
"U3","TopLayer","TSOP95P280X125-6L","14.6268","27.3026","270"
"R9","TopLayer","RESC_0603_1608X08L","19.2550","13.7174","360"
"U2","TopLayer","SOT95P260X90-5L","18.0340","9.2710","180"
"C9","TopLayer","CAPC3224X25L","9.9984","27.4276","270"
